port_name,area,official_port_url,camera_count,camera_links,official_page_links,catalog_links,webcamscatalunya_links,search_links
Port Balís,Barcelona Coast,https://ports.gencat.cat/balis/,0,,,,,
Port d’Arenys de Mar,Barcelona Coast,https://ports.gencat.cat/port-darenys-de-mar/,2,https://www.youtube.com/embed/IAHtpDcILnM | https://www.youtube.com/embed/FUzayttQSdY,https://www.youtube.com/embed/IAHtpDcILnM | https://www.youtube.com/embed/FUzayttQSdY,,,
Port de Badalona,Barcelona Coast,https://ports.gencat.cat/badalona/,2,https://windy.com/webcams/1625826131 | https://windy.com/webcams/1625826247,,,https://windy.com/webcams/1625826131 | https://windy.com/webcams/1625826247,
Port de Barcelona,Barcelona Coast,https://www.portdebarcelona.cat/,12,https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/playa-sant-sebastia.html | https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/catamaran.html | https://www.ccma.cat/el-temps/embed/sant-joan-despi-tv3/cameraembed/3/ | https://windy.com/webcams/1663951891 | https://www.ccma.cat/el-temps/embed/barcelona-arts-santa-monica/cameraembed/53/ | https://www.meteoribes.cat/webcams/foscam_2.jpg | https://www.meteoribes.cat/webcams/cam_1.jpg | https://www.meteoribes.cat/webcams/besder.jpg | https://windy.com/webcams/1270136189 | https://windy.com/webcams/1625826131 | https://windy.com/webcams/1625826247 | https://www.skylinewebcams.com/webcam/espana/cataluna/gerona/lloret-de-mar-costa-brava.html,,https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/playa-sant-sebastia.html | https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/catamaran.html,https://www.ccma.cat/el-temps/embed/sant-joan-despi-tv3/cameraembed/3/ | https://windy.com/webcams/1663951891 | https://www.ccma.cat/el-temps/embed/barcelona-arts-santa-monica/cameraembed/53/ | https://www.meteoribes.cat/webcams/foscam_2.jpg | https://www.meteoribes.cat/webcams/cam_1.jpg | https://www.meteoribes.cat/webcams/besder.jpg | https://windy.com/webcams/1270136189 | https://windy.com/webcams/1625826131 | https://windy.com/webcams/1625826247 | https://www.skylinewebcams.com/webcam/espana/cataluna/gerona/lloret-de-mar-costa-brava.html | https://embed.skylinewebcams.com/img/631.jpg | https://windy.com/webcams/1589533909,
Port de Garraf,Barcelona Coast,https://ports.gencat.cat/port-del-garraf/,0,,,,,
Port de Mataró,Barcelona Coast,https://ports.gencat.cat/port-de-mataro/,3,https://www.portmataro.org/meteo/webcam1/snap_c1.jpg | https://www.portmataro.org/meteo/webcam2/snap_c1.jpg | https://windy.com/webcams/1530615575,,,https://www.portmataro.org/meteo/webcam1/snap_c1.jpg | https://www.portmataro.org/meteo/webcam2/snap_c1.jpg | https://windy.com/webcams/1530615575,
Port de Premià de Mar,Barcelona Coast,https://ports.gencat.cat/premia/,0,,,,,
Port de Sitges-Aiguadolç,Barcelona Coast,https://ports.gencat.cat/aiguadolc/,1,https://ipcamlive.com/player/player.php?alias=65d33d2760353,,https://ipcamlive.com/player/player.php?alias=65d33d2760353,,
Port de Vallcarca (Sitges),Barcelona Coast,https://ports.gencat.cat/port-de-vallcarca/,1,https://ipcamlive.com/player/player.php?alias=65d33d2760353,,https://ipcamlive.com/player/player.php?alias=65d33d2760353,,
Port de Vilanova i la Geltrú,Barcelona Coast,https://ports.gencat.cat/port-de-vilanova-i-la-geltru/,1,https://www.youtube.com/embed/A-ZlYhfvy-4,https://www.youtube.com/embed/A-ZlYhfvy-4,,,
Port del Masnou,Barcelona Coast,https://ports.gencat.cat/port-del-masnou/,0,,,,,
Port Fòrum,Barcelona Coast,https://ports.gencat.cat/forum/,0,,,,,
Port Ginesta,Barcelona Coast,https://www.portginesta.com/webcam/,1,https://v.angelcam.com/iframe?v=6xblmkbkr2,,,https://www.portginesta.com/webcam/,
